City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Heze,CN,82.58,overcast clouds,35.2431,115.4411,
3,Port Blair,IN,80.64,moderate rain,11.6667,92.75,
6,Shunyi,CN,80.55,clear sky,40.125,116.6453,
14,Felipe Carrillo Puerto,MX,82.4,overcast clouds,19.5833,-88.05,
17,Kamaishi,JP,79.48,overcast clouds,39.2667,141.8833,
18,Vaini,TO,80.76,few clouds,-21.2,-175.2,
20,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,
27,Thompson,CA,75.36,few clouds,55.7435,-97.8558,
28,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,
30,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,
36,Kapaa,US,83.19,broken clouds,22.0752,-159.319,
37,Albany,US,88.27,broken clouds,42.6001,-73.9662,
40,Korla,CN,81.01,clear sky,41.7597,86.1469,
43,Zhanakorgan,KZ,77.54,few clouds,43.9098,67.2495,
45,Butaritari,KI,81.9,overcast clouds,3.0707,172.7902,
49,Bethel,US,87.85,overcast clouds,41.3712,-73.414,
50,Naze,JP,81.52,clear sky,28.3667,129.4833,
52,Atuona,PF,77.16,broken clouds,-9.8,-139.0333,
59,Jamestown,US,85.59,scattered clouds,42.097,-79.2353,
61,Hobyo,SO,75.13,clear sky,5.3505,48.5268,
63,Galle,LK,77.09,overcast clouds,6.0367,80.217,
64,Aksu,CN,77.02,clear sky,41.1231,80.2644,
70,Napanee,CA,85.91,broken clouds,44.2501,-76.9494,
80,Katsina,NG,82.26,overcast clouds,12.9894,7.6006,
83,Alamosa,US,80.58,scattered clouds,37.4695,-105.87,
84,San Quintin,MX,77.83,broken clouds,30.4833,-115.95,
88,Waddan,LY,81.45,clear sky,29.1614,16.139,
93,Sinnamary,GF,79.95,overcast clouds,5.3833,-52.95,
95,Victoria,HK,84.38,broken clouds,22.2855,114.1577,
105,Katsuura,JP,82.81,clear sky,35.1333,140.3,
109,Rawatsar,IN,84.78,overcast clouds,29.2833,74.3833,
110,Puerto Triunfo,CO,80.6,broken clouds,5.8726,-74.6403,
111,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,
115,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,
116,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,
118,Manado,ID,75.97,few clouds,1.487,124.8455,
124,Tonekabon,IR,77.18,broken clouds,36.8163,50.8738,
126,Chabahar,IR,82.22,overcast clouds,25.2919,60.643,
128,Saint-Alexandre,FR,80.29,clear sky,44.2278,4.6214,
129,Kilindoni,TZ,75.61,broken clouds,-7.9139,39.6668,
137,Nouadhibou,MR,75.18,broken clouds,20.931,-17.0347,
138,Les Cayes,HT,84.42,scattered clouds,18.2,-73.75,
140,Porbandar,IN,81.84,overcast clouds,21.6422,69.6093,
143,Macapa,BR,82.38,few clouds,0.0389,-51.0664,
152,Zhanaozen,KZ,77.54,broken clouds,43.3,52.8,
157,Nishihara,JP,83.48,few clouds,26.1842,127.7558,
162,Bubaque,GW,79.16,moderate rain,11.2833,-15.8333,
164,Alta Floresta,BR,77.86,broken clouds,-9.8756,-56.0861,
168,Isangel,VU,81.32,clear sky,-19.55,169.2667,
169,Georgetown,MY,80.89,few clouds,5.4112,100.3354,
172,Crossville,US,84.49,few clouds,35.949,-85.0269,
175,Faanui,PF,77.11,broken clouds,-16.4833,-151.75,
179,Guerrero Negro,MX,83.55,overcast clouds,27.9769,-114.0611,
182,Princeton,US,86.02,overcast clouds,25.5384,-80.4089,
184,Bulungu,CD,79.18,overcast clouds,-4.55,18.6,
191,Veraval,IN,81.25,overcast clouds,20.9,70.3667,
195,Yashan,CN,79.09,scattered clouds,22.1975,109.9419,
197,Kavaratti,IN,80.47,overcast clouds,10.5669,72.642,
198,Suluq,LY,80.06,clear sky,31.6682,20.2521,
199,Aden,YE,85.44,broken clouds,12.7794,45.0367,
201,Avarua,CK,77.05,few clouds,-21.2078,-159.775,
204,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,
214,Puerto Madero,MX,84.22,overcast clouds,14.7208,-92.4215,
216,Komsomolskiy,UZ,78.35,clear sky,40.4272,71.7189,
218,Goderich,CA,82.72,overcast clouds,43.7501,-81.7165,
220,Edgewater,US,89.74,scattered clouds,28.9889,-80.9023,
223,Bessemer,US,79.95,overcast clouds,33.4018,-86.9544,
224,Noumea,NC,75.99,broken clouds,-22.2763,166.4572,
225,Luoyang,CN,85.5,overcast clouds,34.6836,112.4536,
228,Macaubas,BR,75.25,few clouds,-13.0194,-42.6986,
229,Saint Anthony,US,75.13,overcast clouds,45.0205,-93.218,
231,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,
235,Salalah,OM,75.29,mist,17.0151,54.0924,
237,Maine-Soroa,NE,84.78,overcast clouds,13.2114,12.0241,
238,Dingle,PH,75.52,overcast clouds,10.9995,122.6711,
239,Derbent,RU,76.21,overcast clouds,42.0678,48.2899,
240,Samarai,PG,80.65,broken clouds,-10.6167,150.6667,
241,Yatou,CN,83.64,moderate rain,37.15,122.3833,
248,Inirida,CO,78.53,overcast clouds,3.8653,-67.9239,
253,Aloleng,PH,76.12,light rain,16.1307,119.7824,
256,Kameda,JP,85.91,broken clouds,37.8667,139.1167,
257,Palmer,US,87.35,broken clouds,42.1584,-72.3287,
258,High Level,CA,77.11,broken clouds,58.5169,-117.136,
259,Marigot,MF,84.29,haze,18.0667,-63.0833,
261,Avera,US,85.37,overcast clouds,33.194,-82.5271,
