,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,East London,-33.0153,27.9116,66.83,overcast clouds,88,99,19.39,ZA
1,Heze,35.2431,115.4411,82.58,overcast clouds,85,93,4.61,CN
2,Carnarvon,-24.8667,113.6333,61.57,clear sky,79,0,11.45,AU
3,Port Blair,11.6667,92.75,80.64,moderate rain,83,100,16.11,IN
4,Mar Del Plata,-38.0023,-57.5575,47.08,broken clouds,86,75,9.22,AR
5,Clyde River,70.4692,-68.5914,43.03,broken clouds,81,75,2.3,CA
6,Shunyi,40.125,116.6453,80.55,clear sky,57,0,7.0,CN
7,Ushuaia,-54.8,-68.3,38.86,clear sky,65,0,10.36,AR
8,Skjervoy,70.0311,20.9714,51.8,light rain,82,100,17.98,NO
9,Hermanus,-34.4187,19.2345,48.79,scattered clouds,86,43,2.55,ZA
10,Tuktoyaktuk,69.4541,-133.0374,44.47,broken clouds,74,75,6.08,CA
11,Caarapo,-22.6342,-54.8222,64.49,overcast clouds,95,100,3.24,BR
12,Mataura,-46.1927,168.8643,39.47,clear sky,71,8,8.57,NZ
13,Rikitea,-23.1203,-134.9692,72.34,overcast clouds,69,100,32.14,PF
14,Felipe Carrillo Puerto,19.5833,-88.05,82.4,overcast clouds,74,100,5.26,MX
15,Kruisfontein,-34.0033,24.7314,56.88,moderate rain,92,87,10.6,ZA
16,Bambous Virieux,-20.3428,57.7575,66.45,broken clouds,94,75,3.44,MU
17,Kamaishi,39.2667,141.8833,79.48,overcast clouds,81,98,8.84,JP
18,Vaini,-21.2,-175.2,80.76,few clouds,89,20,8.05,TO
19,Dubbo,-32.25,148.6167,39.33,overcast clouds,75,100,5.75,AU
20,Alofi,-19.0595,-169.9187,80.49,clear sky,69,8,12.66,NU
21,Yellowknife,62.456,-114.3525,63.12,light intensity shower rain,67,75,3.44,CA
22,Codrington,-38.2667,141.9667,43.11,clear sky,79,4,6.49,AU
23,Tiksi,71.6872,128.8694,46.74,light rain,96,100,2.73,RU
24,Mayo,38.8876,-76.5119,91.94,clear sky,77,0,13.8,US
25,Nelson Bay,-32.7167,152.15,57.0,moderate rain,95,76,8.99,AU
26,Camabatela,-8.1881,15.375,61.29,clear sky,58,4,2.59,AO
27,Thompson,55.7435,-97.8558,75.36,few clouds,43,20,17.27,CA
28,Puerto Ayora,-0.7393,-90.3518,75.16,broken clouds,88,57,4.0,EC
29,Saint-Philippe,-21.3585,55.7679,67.59,few clouds,82,15,5.19,RE
30,Denpasar,-8.65,115.2167,76.71,scattered clouds,88,40,5.75,ID
31,Rocha,-34.4833,-54.3333,43.63,overcast clouds,90,93,5.08,UY
32,New Norfolk,-42.7826,147.0587,36.9,few clouds,84,11,2.51,AU
33,Pila,53.1515,16.7378,58.37,scattered clouds,65,41,6.29,PL
34,Berdigestyakh,62.0989,126.6992,56.35,overcast clouds,86,97,6.69,RU
35,Verkhniye Achaluki,43.3469,44.6975,64.85,light rain,100,99,2.24,RU
36,Kapaa,22.0752,-159.319,83.19,broken clouds,76,75,11.5,US
37,Albany,42.6001,-73.9662,88.27,broken clouds,73,54,7.78,US
38,Zheshart,62.0731,49.5733,62.01,broken clouds,97,56,5.19,RU
39,Arman,59.7,150.1667,61.16,overcast clouds,65,97,3.18,RU
40,Korla,41.7597,86.1469,81.01,clear sky,29,5,0.47,CN
41,Vao,-22.6667,167.4833,71.98,clear sky,83,4,9.48,NC
42,Provideniya,64.3833,-173.3,42.91,overcast clouds,75,100,15.66,RU
43,Zhanakorgan,43.9098,67.2495,77.54,few clouds,35,14,6.93,KZ
44,Pevek,69.7008,170.3133,32.43,overcast clouds,94,100,16.02,RU
45,Butaritari,3.0707,172.7902,81.9,overcast clouds,71,100,15.5,KI
46,Hofn,64.2539,-15.2082,52.16,overcast clouds,89,99,16.46,IS
47,Bredasdorp,-34.5322,20.0403,55.22,scattered clouds,91,36,3.8,ZA
48,Mahebourg,-20.4081,57.7,66.49,broken clouds,94,75,3.44,MU
49,Bethel,41.3712,-73.414,87.85,overcast clouds,71,98,1.01,US
50,Naze,28.3667,129.4833,81.52,clear sky,75,1,2.73,JP
51,Saint-Francois,46.4154,3.9054,63.84,clear sky,48,0,0.0,FR
52,Atuona,-9.8,-139.0333,77.16,broken clouds,68,78,17.9,PF
53,Saint-Pierre,-21.3393,55.4781,67.68,broken clouds,71,75,6.91,RE
54,Airai,-8.9266,125.4092,62.15,few clouds,53,18,2.93,TL
55,Saskylakh,71.9167,114.0833,51.04,overcast clouds,61,100,7.81,RU
56,Port Hedland,-20.3167,118.5667,51.85,clear sky,58,0,6.91,AU
57,Grindavik,63.8424,-22.4338,51.75,few clouds,93,20,12.66,IS
58,Poli,-3.3333,36.8,51.44,few clouds,78,12,3.74,TZ
59,Jamestown,42.097,-79.2353,85.59,scattered clouds,65,40,8.05,US
60,Sept-Iles,50.2001,-66.3821,66.72,broken clouds,48,75,14.97,CA
61,Hobyo,5.3505,48.5268,75.13,clear sky,84,1,25.43,SO
62,Chokurdakh,70.6333,147.9167,50.0,overcast clouds,48,100,16.13,RU
63,Galle,6.0367,80.217,77.09,overcast clouds,89,100,12.66,LK
64,Aksu,41.1231,80.2644,77.02,clear sky,43,0,3.85,CN
65,Hobart,-42.8794,147.3294,37.26,few clouds,93,20,9.22,AU
66,Hilo,19.7297,-155.09,90.28,broken clouds,74,75,11.99,US
67,Lavrentiya,65.5833,-171.0,37.92,light rain,79,100,17.13,RU
68,Busselton,-33.65,115.3333,57.24,overcast clouds,78,89,22.7,AU
69,Souillac,-20.5167,57.5167,66.58,broken clouds,94,75,3.44,MU
70,Napanee,44.2501,-76.9494,85.91,broken clouds,51,54,11.43,CA
71,Elliot Lake,46.3834,-82.6331,56.37,overcast clouds,95,100,7.76,CA
72,Port Hardy,50.6996,-127.4199,64.58,fog,77,20,5.75,CA
73,Zemio,5.0314,25.1361,67.44,light rain,99,94,3.69,CF
74,Millbrook,32.4799,-86.3619,93.27,clear sky,58,0,4.61,US
75,Bengkulu,-3.8004,102.2655,74.39,clear sky,87,10,5.64,ID
76,Verkhneyarkeyevo,55.4505,54.3145,68.5,overcast clouds,65,92,3.4,RU
77,Paamiut,61.994,-49.6678,43.18,clear sky,89,3,18.43,GL
78,Chifeng,42.2683,118.9636,69.33,overcast clouds,51,100,2.8,CN
79,Nikolskoye,59.7035,30.7861,58.89,scattered clouds,78,27,4.05,RU
80,Katsina,12.9894,7.6006,82.26,overcast clouds,61,94,11.32,NG
81,Ahipara,-35.1667,173.1667,59.2,clear sky,82,10,9.19,NZ
82,Port Alfred,-33.5906,26.891,62.19,light rain,97,93,3.0,ZA
83,Alamosa,37.4695,-105.87,80.58,scattered clouds,34,40,8.05,US
84,San Quintin,30.4833,-115.95,77.83,broken clouds,71,84,6.71,MX
85,Punta Arenas,-53.15,-70.9167,39.31,few clouds,75,20,12.66,CL
86,Labuhan,-6.8844,112.2051,74.46,clear sky,87,7,9.1,ID
87,Cape Town,-33.9258,18.4232,54.91,clear sky,89,0,6.91,ZA
88,Waddan,29.1614,16.139,81.45,clear sky,40,0,9.04,LY
89,Portland,45.5234,-122.6762,102.52,few clouds,24,20,12.66,US
90,Matadi,-5.8167,13.45,70.66,broken clouds,75,63,5.01,CD
91,Dikson,73.5069,80.5464,42.03,light rain,100,100,9.98,RU
92,Zunheboto,25.9667,94.5167,65.34,scattered clouds,96,45,3.65,IN
93,Sinnamary,5.3833,-52.95,79.95,overcast clouds,78,100,10.0,GF
94,Khorramshahr,30.4397,48.1664,94.96,haze,71,6,6.91,IR
95,Victoria,22.2855,114.1577,84.38,broken clouds,88,76,5.99,HK
96,Port Elizabeth,-33.918,25.5701,61.32,overcast clouds,99,100,9.22,ZA
97,Ketchikan,55.3422,-131.6461,63.07,overcast clouds,67,100,11.5,US
98,Ust-Nera,64.5667,143.2,66.0,overcast clouds,66,93,4.09,RU
99,Vakhtan,57.9659,46.6889,62.78,scattered clouds,84,45,4.23,RU
100,Comodoro Rivadavia,-45.8667,-67.5,40.86,light intensity drizzle rain,81,100,9.22,AR
101,Constitucion,-35.3333,-72.4167,48.81,few clouds,87,16,9.13,CL
102,Leningradskiy,69.3833,178.4167,32.83,light snow,95,100,21.41,RU
103,Cherskiy,68.75,161.3,46.44,overcast clouds,55,95,2.98,RU
104,Celadna,49.5487,18.3376,63.05,overcast clouds,76,97,20.0,CZ
105,Katsuura,35.1333,140.3,82.81,clear sky,80,6,14.47,JP
106,Ayan,56.45,138.1667,54.21,light rain,94,100,20.49,RU
107,Shadrinsk,56.0852,63.6335,61.74,broken clouds,89,76,4.76,RU
108,Torbay,47.6666,-52.7314,74.17,broken clouds,86,75,23.02,CA
109,Rawatsar,29.2833,74.3833,84.78,overcast clouds,77,100,9.71,IN
110,Puerto Triunfo,5.8726,-74.6403,80.6,broken clouds,81,70,1.99,CO
111,Bathsheba,13.2167,-59.5167,83.01,few clouds,93,20,10.36,BB
112,Narsaq,60.9167,-46.05,50.22,clear sky,74,2,1.77,GL
113,Dunedin,-45.8742,170.5036,42.8,overcast clouds,54,85,8.01,NZ
114,Kurchum,48.5722,83.6542,63.32,broken clouds,46,52,3.8,KZ
115,Acapulco,16.8634,-99.8901,85.82,broken clouds,74,75,9.22,MX
116,Cabedelo,-6.9811,-34.8339,75.87,few clouds,77,13,12.44,BR
